match_id,season,match_round,match_date,home_club_id,away_club_id,home_tier,away_tier,venue,total_capacity,is_derby,home_position,away_position,home_points,away_points,match_stakes_score,match_stakes_label,title_score,top4_score,relegation_score,euro_score,games_remaining,urgency,tv_slot,tv_slot_encoded,weather_severity_score,festive_fixture,european_midweek_fatigue,home_form_score,away_form_score,manager_new_bonus,star_power_index,away_distance_km,attribute_wtp_score,overall_fill_rate,excess_demand_ratio,total_tickets_sold,st_tickets_sold,booking_curve_archetype,velocity_T14,velocity_T7,result,home_goals,away_goals
ARS_SOU_2022-23,2022-23,1,2022-08-06,ARS,SOU,big_six,smaller_club,Emirates Stadium,60704,False,1,20,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.0,38,0.1,Midweek Tue/Wed 20:00,2,0,False,False,0.5,0.5,False,4,251,0.6117045781425947,0.89,0.89,62221,53419,Flat/Slow,0.47,0.574,H,2,2
MCI_IPS_2022-23,2022-23,1,2022-08-06,MCI,IPS,big_six,smaller_club,Etihad Stadium,53400,False,2,19,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.0,38,0.1,Saturday 15:00,1,0,False,False,0.5,0.5,False,4,356,0.875061272468045,0.855,0.855,52509,43788,Flat/Slow,0.47,0.574,H,0,0
LIV_BOU_2022-23,2022-23,1,2022-08-06,LIV,BOU,big_six,smaller_club,Anfield,61276,False,3,18,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.0,38,0.1,Midweek Tue/Wed 20:00,2,1,False,False,0.5,0.5,False,4,86,0.7831055018389836,0.882,0.882,63197,55148,Flat/Slow,0.47,0.574,H,3,1
CHE_LEI_2022-23,2022-23,1,2022-08-06,CHE,LEI,big_six,smaller_club,Stamford Bridge,40834,False,4,17,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.0,38,0.1,Midweek Tue/Wed 20:00,2,0,False,False,0.5,0.5,False,4,387,0.7512914309291949,0.845,0.845,39195,32667,Flat/Slow,0.47,0.574,H,1,0
TOT_NFO_2022-23,2022-23,1,2022-08-06,TOT,NFO,big_six,smaller_club,Tottenham Hotspur Stadium,62850,False,5,16,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.0,38,0.1,Friday 20:00,2,1,False,False,0.5,0.5,False,4,364,0.6296968572733962,0.846,0.846,61873,52165,Flat/Slow,0.47,0.574,H,3,1
MUN_BRE_2022-23,2022-23,1,2022-08-06,MUN,BRE,big_six,smaller_club,Old Trafford,74310,False,6,15,0,0,0.1,Standard,0.1,0.08000000000000002,0.065,0.05500000000000001,38,0.1,Monday 20:00,2,0,False,False,0.5,0.5,False,4,448,0.7351827755212781,0.795,0.795,73245,63163,Flat/Slow,0.47,0.574,H,3,0
AVL_EVE_2022-23,2022-23,1,2022-08-06,AVL,EVE,established_mid,smaller_club,Villa Park,42682,False,7,14,0,0,0.1,Standard,0.1,0.0,0.065,0.05500000000000001,38,0.1,Monday 20:00,2,0,False,False,0.5,0.5,False,3,215,0.8408898882560565,0.646,0.646,37085,26462,Flat/Slow,0.47,0.574,H,0,1
NEW_CPL_2022-23,2022-23,1,2022-08-06,NEW,CPL,established_mid,established_mid,St. James Park,52305,False,8,13,0,0,0.1,Standard,0.1,0.0,0.0,0.05500000000000001,38,0.1,Monday 20:00,2,1,False,False,0.5,0.5,False,3,275,0.6223400799142145,0.833,0.833,49928,36613,Consistent Gradual,0.525,0.69,H,2,2
WHU_FUL_2022-23,2022-23,1,2022-08-06,WHU,FUL,established_mid,established_mid,London Stadium,62500,False,9,12,0,0,0.1,Standard,0.1,0.0,0.0,0.05500000000000001,38,0.1,Saturday 15:00,1,0,False,False,0.5,0.5,False,3,290,0.4199549215642287,0.756,0.756,56861,36250,Consistent Gradual,0.525,0.69,A,0,0
BHA_WOL_2022-23,2022-23,1,2022-08-06,BHA,WOL,established_mid,established_mid,Amex Stadium,31800,False,10,11,0,0,0.1,Standard,0.1,0.0,0.0,0.05500000000000001,38,0.1,Monday 20:00,2,0,False,False,0.5,0.5,False,3,69,0.8222421033836891,0.773,0.773,29057,20670,Consistent Gradual,0.525,0.69,H,0,0
